Card Type,City,Country,Customer ID,Customer Name,Date,Date (Week numbers),District,dynamic graph,Highlight,Merchant Catergory,Merchant ID,Merchant Name,Merchant Sub Category,Payment Mode,Payment Status,Payment Status - Failure ,Pin Code,Product,Select Chart,State,Week,ATS,Charge,commission,Failure%,Size,Success%,Tran,Transaction Amount,Transaction Count
Visa,Rewari,India,U-443,David Chakraborty,18-04-2023,Week 16,Rewari,Show Transaction Details,No Highlight,Retail Outlet Services,701854,HeatMaster Supplies,Plumbing and Heating Equipment,Debit Card,Partially Refunded,FALSE,126748,Online,Week,Haryana,16,1210.75,2,96.86,0,1,0,4.843,4843,4
Not Applicable,Chandigarh,India,U-444,Meganathan Rege,17-04-2023,Week 16,Chandigarh,Show Transaction Details,No Highlight,Contracted Services,756078,DigiPrint Publishing,Miscellaneous Publishing and Printing,Wallet,Failure,TRUE,459871,Online,Week,Chandigarh,16,1784.333333,2,107.06,1,1,0,5.353,5353,3
Rupay,Guwahati,India,U-445,Amod Reddy,04-04-2023,Week 14,Guwahati,Show Transaction Details,No Highlight,Contracted Services,795070,Voltage Valley Electrical,Electrical Contractors,Debit Card,Success,FALSE,335678,Online,Week,Assam,14,1695,2,67.8,0,1,1,3.39,3390,2
Not Applicable,Gurgaon,India,U-446,Epa Teja,31-03-2023,Week 13,Gurugram,Show Transaction Details,No Highlight,Retail Outlet Services,757606,PipeWorks Co.,Plumbing and Heating Equipment,NetBanking,Success,FALSE,658633,Online,Week,Haryana,13,1487,2,89.22,0,1,1,4.461,4461,3
Not Applicable,Gurgaon,India,U-447,Jalbhushan Jajoo,20-03-2023,Week 12,Gurugram,Show Transaction Details,Highlight,Transportation Services,754798,ExpressRailways,Railroads–Freight,EMI,Success,FALSE,658633,Online,Week,Haryana,12,1936,3,116.16,0,100,1,3.872,3872,2
Visa,Indore,India,U-448,Hemakesh Ratti,11-03-2023,Week 10,Indore,Show Transaction Details,No Highlight,Agricultural Services,709759,Green Earth Landscaping,Horticultural and Landscaping Services,Debit Card,Success,FALSE,456231,PoS,Week,Madhya Pradesh,10,533,2,21.32,0,1,1,1.066,1066,2
Not Applicable,Chennai,India,U-449,Kuldip Sekh,01-03-2023,Week 9,Chennai,Show Transaction Details,No Highlight,Contracted Services,753114,Circuit City Electrical,Electrical Contractors,UPI,Success,FALSE,769801,Online,Week,Tamil Nadu,9,2813,2,56.26,0,1,1,2.813,2813,1
Master,Agra,India,U-450,Karman Raykar,23-02-2023,Week 8,Agra,Show Transaction Details,No Highlight,Agricultural Services,704871,Green Acres Cooperative,Agricultural Cooperatives,Debit Card,Success,FALSE,348062,PoS,Week,Uttar Pradesh,8,1056.25,2,84.5,0,1,1,4.225,4225,4
Master,Lucknow,India,U-451,Mazhar Ranjan,20-02-2023,Week 8,Lucknow,Show Transaction Details,No Highlight,Transportation Services,788112,Neptune's Bus service,Bus Lines,Credit Card,Success,FALSE,120936,Online,Week,Uttar Pradesh,8,6173,2,123.46,0,1,1,6.173,6173,1
Not Applicable,Chandigarh,India,U-452,Lemana Gour,19-02-2023,Week 8,Chandigarh,Show Transaction Details,No Highlight,Agricultural Services,718057,AgriMax Cooperative,Agricultural Cooperatives,Wallet,Failure,TRUE,459871,Online,Week,Chandigarh,8,1247.75,2,99.82,1,1,0,4.991,4991,4
Not Applicable,Chandigarh,India,U-453,Beena Juneja,18-02-2023,Week 7,Chandigarh,Show Transaction Details,No Highlight,Agricultural Services,709759,Green Earth Landscaping,Horticultural and Landscaping Services,Wallet,Success,FALSE,459874,QR,Week,Chandigarh,7,6425,2,128.5,0,1,1,6.425,6425,1
Not Applicable,Mysore,India,U-454,Pawan Ravi,18-02-2023,Week 7,Mysore,Show Transaction Details,No Highlight,Transportation Services,788112,Neptune's Bus service,Bus Lines,Wallet,Failure,TRUE,560987,Online,Week,Karnataka,7,1478.333333,2,88.7,1,1,0,4.435,4435,3
Not Applicable,Chandigarh,India,U-455,Jayanrajan Divan,13-02-2023,Week 7,Chandigarh,Show Transaction Details,No Highlight,Government Services,749866,Super Mart UK,"UK Supermarkets, Electronic Hot File",UPI,Success,FALSE,459872,QR,Week,Chandigarh,7,1026,2,61.56,0,1,1,3.078,3078,3
Not Applicable,Gurgaon,India,U-456,Aarit Paramar,06-02-2023,Week 6,Gurugram,Show Transaction Details,No Highlight,Contracted Services,753114,Circuit City Electrical,Electrical Contractors,NetBanking,Success,FALSE,658633,Online,Week,Haryana,6,1708.333333,2,102.5,0,1,1,5.125,5125,3
Not Applicable,Karnal,India,U-457,Mantu Tewari,05-02-2023,Week 6,Karnal,Show Transaction Details,No Highlight,Contracted Services,727568,Concrete Impressions,Concrete Work Contractors,NetBanking,Success,FALSE,345623,Online,Week,Haryana,6,1449.5,2,57.98,0,1,1,2.899,2899,2
Not Applicable,Faridabad,India,U-458,Kallaimaaran Sibal,27-01-2023,Week 4,Faridabad,Show Transaction Details,No Highlight,Government Services,749866,Super Mart UK,"UK Supermarkets, Electronic Hot File",UPI,Success,FALSE,121001,Online,Week,Haryana,4,3393.5,2,135.74,0,1,1,6.787,6787,2
Not Applicable,Karnal,India,U-459,Haswin Inavolu,18-01-2023,Week 3,Karnal,Show Transaction Details,No Highlight,Contracted Services,747767,ShockWave Electric Co.,Electrical Contractors,Wallet,Failure,TRUE,345623,QR,Week,Haryana,3,3608,2,144.32,1,1,0,7.216,7216,2
Visa,Delhi,India,U-460,Abisekkumar Ray,17-01-2023,Week 3,Delhi,Show Transaction Details,No Highlight,Contracted Services,764884,Plumbing Wizards Inc.,"Air Conditioning, Heating and Plumbing Contractors",Debit Card,Refunded,FALSE,110066,PoS,Week,Delhi,3,1682.666667,2,100.96,0,1,0,5.048,5048,3
Master,Agra,India,U-461,Aadharshan Rauniyar,09-01-2023,Week 2,Agra,Show Transaction Details,No Highlight,Agricultural Services,709759,Green Earth Landscaping,Horticultural and Landscaping Services,Debit Card,Success,FALSE,348062,Online,Week,Uttar Pradesh,2,1463,2,117.04,0,1,1,5.852,5852,4
Not Applicable,Chandigarh,India,U-462,Koviddh Rau,07-01-2023,Week 1,Chandigarh,Show Transaction Details,No Highlight,Transportation Services,788112,Neptune's Bus service,Bus Lines,Wallet,Success,FALSE,459870,QR,Week,Chandigarh,1,676.25,2,54.1,0,1,1,2.705,2705,4
Not Applicable,Chandigarh,India,U-463,Dusvanth Ganesh,23-04-2023,Week 17,Chandigarh,Show Transaction Details,No Highlight,Contracted Services,700001,NS Services,"Air Conditioning, Heating and Plumbing Contractors",Wallet,Success,FALSE,459874,QR,Week,Chandigarh,17,1070,2,64.2,0,1,1,3.21,3210,3
Master,Rewari,India,U-464,Hare Krishna Balot,26-04-2023,Week 17,Rewari,Show Transaction Details,No Highlight,Miscellaneous Stores,733221,Tasty Treats Catering Co.,Caterers,Credit Card,Success,FALSE,126748,Online,Week,Haryana,17,2799,2,55.98,0,1,1,2.799,2799,1
Master,Delhi,India,U-465,Ramesa Sarath,17-04-2023,Week 16,Delhi,Show Transaction Details,No Highlight,Retail Outlet Services,710761,BuildSmart Supplies,Construction Materials Not Elsewhere Classified,Debit Card,Partially Refunded,FALSE,110065,Online,Week,Delhi,16,4468,2,89.36,0,1,0,4.468,4468,1
Not Applicable,Chandigarh,India,U-466,Firyal Ratta,15-04-2023,Week 15,Chandigarh,Show Transaction Details,No Highlight,Utility Services,722817,SwiftTelegraph Co.,Telegraph Services,Wallet,Failure,TRUE,567890,Online,Week,Chandigarh,15,4387,2,87.74,1,1,0,4.387,4387,1
Visa,Bangalore,India,U-467,Sangeeta Rathour,13-04-2023,Week 15,Bangalore,Show Transaction Details,No Highlight,Retail Outlet Services,732392,ToolTime Supplies,Hardware Equipment and Supplies,Credit Card,Success,FALSE,560035,Online,Week,Karnataka,15,1897,2,75.88,0,1,1,3.794,3794,2
Not Applicable,Karnal,India,U-468,Vilas Rathore,01-04-2023,Week 13,Karnal,Show Transaction Details,No Highlight,Contracted Services,772359,CleanSweep Supplies,"Sanitation, Polishing and Specialty Cleaning Preparations",Wallet,Failure,TRUE,345623,QR,Week,Haryana,13,7234,2,144.68,1,1,0,7.234,7234,1
Not Applicable,Nalanda,India,U-469,Satya Balakrishnan,29-03-2023,Week 13,Nalanda,Show Transaction Details,No Highlight,Transportation Services,796541,Harbor Hopper Rentals,Boat Leases and Boat Rentals,Wallet,Success,FALSE,148790,Online,Week,Bihar,13,1414,2,113.12,0,1,1,5.656,5656,4
Not Applicable,Gurgaon,India,U-470,Jaishankar Rao,26-03-2023,Week 13,Gurugram,Show Transaction Details,Highlight,Contracted Services,756078,DigiPrint Publishing,Miscellaneous Publishing and Printing,EMI,Success,FALSE,658633,Online,Week,Haryana,13,2195.5,3,131.73,0,100,1,4.391,4391,2
Not Applicable,Delhi,India,U-471,Daityakarya Anne,25-03-2023,Week 12,Delhi,Show Transaction Details,No Highlight,Contracted Services,727568,Concrete Impressions,Concrete Work Contractors,NetBanking,Success,FALSE,110065,Online,Week,Delhi,12,783.5,2,62.68,0,1,1,3.134,3134,4
Diners,Mathura,India,U-472,Indrasuta Ranganathan,21-03-2023,Week 12,Mathura,Show Transaction Details,No Highlight,Government Services,749866,Super Mart UK,"UK Supermarkets, Electronic Hot File",Credit Card,Success,FALSE,179034,PoS,Week,Uttar Pradesh,12,3235.5,3,194.13,0,1,1,6.471,6471,2
Visa,Delhi,India,U-473,Elisaichelvan Manju,19-03-2023,Week 12,Delhi,Show Transaction Details,No Highlight,Clothing Stores,777309,Trendy Trinkets,Women’s Accessory and Specialty Stores,Debit Card,Success,FALSE,110066,PoS,Week,Delhi,12,1012,2,40.48,0,1,1,2.024,2024,2
Not Applicable,Chandigarh,India,U-474,Eekaivannan Ramesh,12-03-2023,Week 11,Chandigarh,Show Transaction Details,No Highlight,Clothing Stores,749824,Sparkling Sensations,Women’s Accessory and Specialty Stores,UPI,Failure,TRUE,459873,Online,Week,Chandigarh,11,389.75,2,31.18,1,1,0,1.559,1559,4
Rupay,Delhi,India,U-475,Rajan Purwar,12-03-2023,Week 11,Delhi,Show Transaction Details,No Highlight,Contracted Services,753114,Circuit City Electrical,Electrical Contractors,Debit Card,Success,FALSE,110063,PoS,Week,Delhi,11,2548.333333,2,152.9,0,1,1,7.645,7645,3
Visa,Rewari,India,U-476,Madhusoodan Ramaswamy,10-03-2023,Week 10,Rewari,Show Transaction Details,No Highlight,Contracted Services,756078,DigiPrint Publishing,Miscellaneous Publishing and Printing,Debit Card,Refunded,FALSE,126748,PoS,Week,Haryana,10,1083.5,2,43.34,0,1,0,2.167,2167,2
Not Applicable,Mathura,India,U-477,Aadiv Sekhar,09-03-2023,Week 10,Mathura,Show Transaction Details,No Highlight,Contracted Services,764884,Plumbing Wizards Inc.,"Air Conditioning, Heating and Plumbing Contractors",NetBanking,Success,FALSE,179034,Online,Week,Uttar Pradesh,10,620,2,37.2,0,1,1,1.86,1860,3
Visa,Indore,India,U-478,Jenepan Sankaran,01-03-2023,Week 9,Indore,Show Transaction Details,No Highlight,Miscellaneous Stores,724170,Pawn Palace,Pawn Shops,Debit Card,Success,FALSE,456987,PoS,Week,Madhya Pradesh,9,532.25,2,42.58,0,1,1,2.129,2129,4
Visa,Ahemdabad,India,U-479,Dharmadaas Ramakrishnan,24-02-2023,Week 8,Ahemdabad,Show Transaction Details,No Highlight,Retail Outlet Services,757606,PipeWorks Co.,Plumbing and Heating Equipment,Debit Card,Success,FALSE,215609,Online,Week,Gujarat,8,3581,2,71.62,0,1,1,3.581,3581,1
Not Applicable,Gurgaon,India,U-480,Brendan Ramachandran,18-02-2023,Week 7,Gurugram,Show Transaction Details,Highlight,Agricultural Services,737016,Harvesters Alliance,Agricultural Cooperatives,EMI,Success,FALSE,658633,Online,Week,Haryana,7,2959.5,3,177.57,0,100,1,5.919,5919,2
Not Applicable,Ahemdabad,India,U-481,Gohulan Rama,14-02-2023,Week 7,Ahemdabad,Show Transaction Details,No Highlight,Transportation Services,764665,Aqua Adventures Boat Rentals,Boat Leases and Boat Rentals,NetBanking,Success,FALSE,215609,Online,Week,Gujarat,7,1913.25,2,153.06,0,1,1,7.653,7653,4
Not Applicable,Delhi,India,U-482,Sarla Ram,07-02-2023,Week 6,Delhi,Show Transaction Details,No Highlight,Utility Services,786063,Connect Communications,Telecommunication Equipment Including Telephone Sales,NetBanking,Success,FALSE,110067,Online,Week,Delhi,6,907,2,72.56,0,1,1,3.628,3628,4
Visa,Faridabad,India,U-483,Kulatheeran Khurana,21-01-2023,Week 3,Faridabad,Show Transaction Details,No Highlight,Retail Outlet Services,701854,HeatMaster Supplies,Plumbing and Heating Equipment,Credit Card,Success,FALSE,121001,Online,Week,Haryana,3,807.3333333,2,48.44,0,1,1,2.422,2422,3
Not Applicable,Silchar,India,U-484,Ativ Char,21-01-2023,Week 3,Silchar,Show Transaction Details,No Highlight,Clothing Stores,740340,The Wig Boutique,Wig and Toupee Shops,NetBanking,Success,FALSE,336789,Online,Week,Assam,3,672,2,53.76,0,1,1,2.688,2688,4
Not Applicable,Mysore,India,U-485,Baban Kalra,19-01-2023,Week 3,Mysore,Show Transaction Details,No Highlight,Contracted Services,795070,Voltage Valley Electrical,Electrical Contractors,Wallet,Failure,TRUE,560987,Online,Week,Karnataka,3,1930.75,2,154.46,1,1,0,7.723,7723,4
Not Applicable,Delhi,India,U-486,Manivel Sekhon,16-01-2023,Week 3,Delhi,Show Transaction Details,Highlight,Retail Outlet Services,775575,Wrench Warehouse,Hardware Equipment and Supplies,EMI,Success,FALSE,110066,Online,Week,Delhi,3,1311.5,3,157.38,0,100,1,5.246,5246,4
Master,Lucknow,India,U-487,Abijith Sethi,13-01-2023,Week 2,Lucknow,Show Transaction Details,No Highlight,Utility Services,722817,SwiftTelegraph Co.,Telegraph Services,Credit Card,Success,FALSE,120936,Online,Week,Uttar Pradesh,2,6737,2,134.74,0,1,1,6.737,6737,1
Not Applicable,Gurgaon,India,U-488,Aasav Bhardwaj,03-01-2023,Week 1,Gurugram,Show Transaction Details,Highlight,Government Services,715500,Enterprise Exchange,Intra-Company Purchases,EMI,Success,FALSE,658633,Online,Week,Haryana,1,7040,3,211.2,0,100,1,7.04,7040,1
Not Applicable,Gurgaon,India,U-489,Vijendra Guduri,29-03-2023,Week 13,Gurugram,Show Transaction Details,Highlight,Contracted Services,700001,NS Services,"Sanitation, Polishing and Specialty Cleaning Preparations",EMI,Success,FALSE,658633,Online,Week,Haryana,13,1659.5,3,99.57,0,100,1,3.319,3319,2
Not Applicable,Chandigarh,India,U-490,Dhilsan Rajagopalan,16-02-2023,Week 7,Chandigarh,Show Transaction Details,No Highlight,Contracted Services,700001,NS Services,"Air Conditioning, Heating and Plumbing Contractors",UPI,Success,FALSE,459870,Online,Week,Chandigarh,7,1602.5,2,128.2,0,1,1,6.41,6410,4
Not Applicable,Chennai,India,U-491,Manju Subramaniam,01-04-2023,Week 13,Chennai,Show Transaction Details,No Highlight,Contracted Services,700001,NS Services,"Sanitation, Polishing and Specialty Cleaning Preparations",Wallet,Success,FALSE,769801,Online,Week,Tamil Nadu,13,761,2,45.66,0,1,1,2.283,2283,3
Not Applicable,Surat,India,U-492,Ananda kulajeevan Borah,14-04-2023,Week 15,Surat,Show Transaction Details,No Highlight,Contracted Services,700001,NS Services,"Air Conditioning, Heating and Plumbing Contractors",NetBanking,Success,FALSE,214567,Online,Week,Gujarat,15,931,2,55.86,0,1,1,2.793,2793,3
Not Applicable,Patna,India,U-493,Kapilashwar Tekchandani,01-04-2023,Week 13,Patna,Show Transaction Details,No Highlight,Contracted Services,772359,CleanSweep Supplies,"Sanitation, Polishing and Specialty Cleaning Preparations",UPI,Partially Refunded,FALSE,145678,QR,Week,Bihar,13,1242.666667,2,74.56,0,1,0,3.728,3728,3
Not Applicable,Visakhapatnam,India,U-494,Ihalavan Grewal,23-03-2023,Week 12,Visakhapatnam,Show Transaction Details,No Highlight,Contracted Services,795070,Voltage Valley Electrical,Electrical Contractors,UPI,Initiated,FALSE,786543,Online,Week,Andhra Pradesh,12,1993,2,39.86,0,1,0,1.993,1993,1
Not Applicable,Chandigarh,India,U-495,Chatresh Shandilya,17-03-2023,Week 11,Chandigarh,Show Transaction Details,Highlight,Contracted Services,765216,Elite Plumbing and Heating,"Air Conditioning, Heating and Plumbing Contractors",EMI,Success,FALSE,459870,Online,Week,Chandigarh,11,1898,3,170.82,0,100,1,5.694,5694,3
Not Applicable,Delhi,India,U-496,Hagrama Mohanty,14-03-2023,Week 11,Delhi,Show Transaction Details,No Highlight,Contracted Services,710794,Polishing Pros,"Sanitation, Polishing and Specialty Cleaning Preparations",NetBanking,Success,FALSE,110006,Online,Week,Delhi,11,808.6666667,2,48.52,0,1,1,2.426,2426,3
Not Applicable,Delhi,India,U-497,Yash Quraishi,26-02-2023,Week 9,Delhi,Show Transaction Details,No Highlight,Contracted Services,734853,Woodworks Unlimited,Carpentry Contractors,NetBanking,Success,FALSE,110063,Online,Week,Delhi,9,1563.666667,2,93.82,0,1,1,4.691,4691,3
Not Applicable,Delhi,India,U-498,Patel Quadiri,16-02-2023,Week 7,Delhi,Show Transaction Details,Highlight,Agricultural Services,704871,Green Acres Cooperative,Agricultural Cooperatives,EMI,Success,FALSE,110066,Online,Week,Delhi,7,5181,3,155.43,0,100,1,5.181,5181,1
Not Applicable,Visakhapatnam,India,U-499,Kishan Rastogi,10-02-2023,Week 6,Visakhapatnam,Show Transaction Details,No Highlight,Contracted Services,764884,Plumbing Wizards Inc.,"Air Conditioning, Heating and Plumbing Contractors",UPI,Success,FALSE,786543,QR,Week,Andhra Pradesh,6,7791,2,155.82,0,1,1,7.791,7791,1
Not Applicable,Chandigarh,India,U-500,Balaaditya Pereddy,03-02-2023,Week 5,Chandigarh,Show Transaction Details,No Highlight,Miscellaneous Stores,788186,Digital Dreams,Electronics Sales,UPI,Success,FALSE,459872,QR,Week,Chandigarh,5,809,2,64.72,0,1,1,3.236,3236,4
Not Applicable,Agra,India,U-501,Ahavarivan Puri,30-01-2023,Week 5,Agra,Show Transaction Details,No Highlight,Utility Services,722817,SwiftTelegraph Co.,Telegraph Services,UPI,Success,FALSE,348062,Online,Week,Uttar Pradesh,5,7460,2,149.2,0,1,1,7.46,7460,1
Rupay,Guwahati,India,U-502,Ayon Fatima,29-01-2023,Week 5,Guwahati,Show Transaction Details,No Highlight,Retail Outlet Services,757606,PipeWorks Co.,Plumbing and Heating Equipment,Debit Card,Success,FALSE,335678,Online,Week,Assam,5,1806,2,108.36,0,1,1,5.418,5418,3
Not Applicable,Karnal,India,U-503,Eravati Alwadhi,27-01-2023,Week 4,Karnal,Show Transaction Details,Highlight,Retail Outlet Services,710761,BuildSmart Supplies,Construction Materials Not Elsewhere Classified,EMI,Failure,TRUE,345623,Online,Week,Haryana,4,3395,3,203.7,1,100,0,6.79,6790,2
Not Applicable,Patna,India,U-504,Santa Pravesh,21-01-2023,Week 3,Patna,Show Transaction Details,No Highlight,Clothing Stores,740340,The Wig Boutique,Wig and Toupee Shops,NetBanking,Refunded,FALSE,145678,Online,Week,Bihar,3,1585,2,63.4,0,1,0,3.17,3170,2
Not Applicable,Karnal,India,U-505,Avikrish Bhushan,19-01-2023,Week 3,Karnal,Show Transaction Details,No Highlight,Contracted Services,795070,Voltage Valley Electrical,Electrical Contractors,NetBanking,Success,FALSE,345623,Online,Week,Haryana,3,492,2,29.52,0,1,1,1.476,1476,3
Visa,Delhi,India,U-506,Kulanvaenthan Shukla,16-01-2023,Week 3,Delhi,Show Transaction Details,No Highlight,Retail Outlet Services,775575,Wrench Warehouse,Hardware Equipment and Supplies,Credit Card,Refunded,FALSE,110066,PoS,Week,Delhi,3,2300.666667,2,138.04,0,1,0,6.902,6902,3
Not Applicable,Chandigarh,India,U-507,Korkai Praveenchand,15-01-2023,Week 3,Chandigarh,Show Transaction Details,No Highlight,Utility Services,783409,Telecom Traders,Telecommunication Equipment Including Telephone Sales,NetBanking,Success,FALSE,459873,Online,Week,Chandigarh,3,2808.5,2,112.34,0,1,1,5.617,5617,2
Visa,Indore,India,U-508,Bhoomish Kavi,14-01-2023,Week 2,Indore,Show Transaction Details,No Highlight,Transportation Services,764665,Aqua Adventures Boat Rentals,Boat Leases and Boat Rentals,Debit Card,Success,FALSE,456231,PoS,Week,Madhya Pradesh,2,2011,2,120.66,0,1,1,6.033,6033,3
Not Applicable,Chandigarh,India,U-509,Kanagarajan Navas,13-01-2023,Week 2,Chandigarh,Show Transaction Details,No Highlight,Contracted Services,795070,Voltage Valley Electrical,Electrical Contractors,UPI,Success,FALSE,459872,QR,Week,Chandigarh,2,7138,2,142.76,0,1,1,7.138,7138,1
Not Applicable,Agra,India,U-510,Gowrishan Prashad,12-01-2023,Week 2,Agra,Show Transaction Details,No Highlight,Contracted Services,727568,Concrete Impressions,Concrete Work Contractors,NetBanking,Partially Refunded,FALSE,348062,Online,Week,Uttar Pradesh,2,1978,2,39.56,0,1,0,1.978,1978,1
Not Applicable,Chandigarh,India,U-511,Megh Dhar,07-01-2023,Week 1,Chandigarh,Show Transaction Details,No Highlight,Transportation Services,754798,ExpressRailways,Railroads–Freight,UPI,Failure,TRUE,459873,Online,Week,Chandigarh,1,6337,2,126.74,1,1,0,6.337,6337,1
Not Applicable,Ujjain,India,U-512,Sima Saxena,17-01-2023,Week 3,Ujjain,Show Transaction Details,No Highlight,Contracted Services,700001,NS Services,"Air Conditioning, Heating and Plumbing Contractors",NetBanking,Success,FALSE,120966,Online,Week,Madhya Pradesh,3,1077,2,43.08,0,1,1,2.154,2154,2
Not Applicable,Coimbatore,India,U-513,Hari Narayana Prasad,09-03-2023,Week 10,Coimbatore,Show Transaction Details,No Highlight,Contracted Services,700001,NS Services,"Air Conditioning, Heating and Plumbing Contractors",Wallet,Success,FALSE,765412,QR,Week,Tamil Nadu,10,1161,2,46.44,0,1,1,2.322,2322,2
Not Applicable,Karnal,India,U-514,Mahadevi Veerepalli,14-03-2023,Week 11,Karnal,Show Transaction Details,No Highlight,Contracted Services,700001,NS Services,"Sanitation, Polishing and Specialty Cleaning Preparations",Wallet,Failure,TRUE,345623,QR,Week,Haryana,11,1201.333333,2,72.08,1,1,0,3.604,3604,3
Not Applicable,Patna,India,U-515,Arujan Chavan,22-02-2023,Week 8,Patna,Show Transaction Details,No Highlight,Contracted Services,700001,NS Services,"Sanitation, Polishing and Specialty Cleaning Preparations",NetBanking,Success,FALSE,145678,Online,Week,Bihar,8,494.3333333,2,29.66,0,1,1,1.483,1483,3
Not Applicable,Nalanda,India,U-516,Devi Dutt Sidhu,23-04-2023,Week 17,Nalanda,Show Transaction Details,No Highlight,Contracted Services,700001,NS Services,"Air Conditioning, Heating and Plumbing Contractors",Wallet,Success,FALSE,148790,Online,Week,Bihar,17,664.5,2,53.16,0,1,1,2.658,2658,4
Visa,Delhi,India,U-517,Amet Ramanathan,27-04-2023,Week 17,Delhi,Show Transaction Details,No Highlight,Contracted Services,764884,Plumbing Wizards Inc.,"Air Conditioning, Heating and Plumbing Contractors",Debit Card,Success,FALSE,110066,PoS,Week,Delhi,17,1935.333333,2,116.12,0,1,1,5.806,5806,3
Master,Nellore,India,U-518,Bhairab Katiyar,24-04-2023,Week 17,Nellore,Show Transaction Details,No Highlight,Contracted Services,795070,Voltage Valley Electrical,Electrical Contractors,Credit Card,Success,FALSE,789043,Online,Week,Andhra Pradesh,17,1931.333333,2,115.88,0,1,1,5.794,5794,3
Diners,Bangalore,India,U-519,Hiranmay Nischal,18-04-2023,Week 16,Bangalore,Show Transaction Details,No Highlight,Transportation Services,788112,Neptune's Bus service,Bus Lines,Credit Card,Success,FALSE,560035,Online,Week,Karnataka,16,1013,3,91.17,0,1,1,3.039,3039,3
Visa,Indore,India,U-520,Abirran Gite,17-04-2023,Week 16,Indore,Show Transaction Details,No Highlight,Contracted Services,740260,Quality Woodcrafts,Carpentry Contractors,Debit Card,Success,FALSE,456987,PoS,Week,Madhya Pradesh,16,829.3333333,2,49.76,0,1,1,2.488,2488,3
Not Applicable,Mathura,India,U-521,Jashikan Pradhan,17-04-2023,Week 16,Mathura,Show Transaction Details,No Highlight,Retail Outlet Services,710761,BuildSmart Supplies,Construction Materials Not Elsewhere Classified,NetBanking,Success,FALSE,179034,Online,Week,Uttar Pradesh,16,2365,2,47.3,0,1,1,2.365,2365,1
Not Applicable,Chandigarh,India,U-522,Jeyathasanan Luthra,16-04-2023,Week 16,Chandigarh,Show Transaction Details,No Highlight,Retail Outlet Services,703453,Infinity Computers,"Computers, Computer Peripheral Equipment, Software",Wallet,Success,FALSE,459874,QR,Week,Chandigarh,16,2562.333333,2,153.74,0,1,1,7.687,7687,3
Not Applicable,Coimbatore,India,U-523,Chinnakesaven Porwal,11-04-2023,Week 15,Coimbatore,Show Transaction Details,No Highlight,Contracted Services,727070,Pro Climate Control Inc.,"Air Conditioning, Heating and Plumbing Contractors",UPI,Success,FALSE,765412,QR,Week,Tamil Nadu,15,1655,2,33.1,0,1,1,1.655,1655,1
Visa,Guwahati,India,U-524,Arikaran Pokhriyal,10-04-2023,Week 15,Guwahati,Show Transaction Details,No Highlight,Agricultural Services,721540,Four Paws Hospital,Veterinary Services,Debit Card,Success,FALSE,335678,PoS,Week,Assam,15,777,2,62.16,0,1,1,3.108,3108,4
Not Applicable,Karnal,India,U-525,Abhimand Rai,09-04-2023,Week 15,Karnal,Show Transaction Details,Highlight,Utility Services,786063,Connect Communications,Telecommunication Equipment Including Telephone Sales,EMI,Failure,TRUE,345623,Online,Week,Haryana,15,2390,3,143.4,1,100,0,4.78,4780,2
Not Applicable,Visakhapatnam,India,U-526,Urmila Singhania,09-04-2023,Week 15,Visakhapatnam,Show Transaction Details,No Highlight,Government Services,715500,Enterprise Exchange,Intra-Company Purchases,Wallet,Success,FALSE,786543,Online,Week,Andhra Pradesh,15,1618,2,129.44,0,1,1,6.472,6472,4
Not Applicable,Visakhapatnam,India,U-527,Anjanan Deol,06-04-2023,Week 14,Visakhapatnam,Show Transaction Details,No Highlight,Contracted Services,764884,Plumbing Wizards Inc.,"Air Conditioning, Heating and Plumbing Contractors",UPI,Initiated,FALSE,786543,Online,Week,Andhra Pradesh,14,4609,2,92.18,0,1,0,4.609,4609,1
Not Applicable,Delhi,India,U-528,Jay Tayde,05-04-2023,Week 14,Delhi,Show Transaction Details,No Highlight,Contracted Services,730095,Reliable Air Conditioning Co.,"Air Conditioning, Heating and Plumbing Contractors",Wallet,Success,FALSE,110006,QR,Week,Delhi,14,5644,2,112.88,0,1,1,5.644,5644,1
Not Applicable,Gandhinagar,India,U-529,Barthikan Siraj,01-04-2023,Week 13,Gandhinagar,Show Transaction Details,Highlight,Contracted Services,772359,CleanSweep Supplies,"Sanitation, Polishing and Specialty Cleaning Preparations",EMI,Success,FALSE,213478,Online,Week,Gujarat,13,1665.5,3,199.86,0,100,1,6.662,6662,4
Not Applicable,Vijaywada,India,U-530,Jeevidhan Bains,31-03-2023,Week 13,Vijaywada,Show Transaction Details,No Highlight,Retail Outlet Services,757606,PipeWorks Co.,Plumbing and Heating Equipment,Wallet,Success,FALSE,785412,Online,Week,Andhra Pradesh,13,3265,2,65.3,0,1,1,3.265,3265,1
Not Applicable,Nalanda,India,U-531,Vaishali Pau,30-03-2023,Week 13,Nalanda,Show Transaction Details,No Highlight,Contracted Services,727070,Pro Climate Control Inc.,"Air Conditioning, Heating and Plumbing Contractors",NetBanking,Success,FALSE,148790,Online,Week,Bihar,13,495.3333333,2,29.72,0,1,1,1.486,1486,3
